university_name,rank,qs_uni_link
University of Liverpool,=168,https://www.timeshighereducation.com/world-university-rankings/university-liverpool
Newcastle University,=168,https://www.timeshighereducation.com/world-university-rankings/newcastle-university
Scuola Normale Superiore di Pisa,=168,https://www.timeshighereducation.com/world-university-rankings/scuola-normale-superiore-di-pisa
Durham University,174,https://www.timeshighereducation.com/world-university-rankings/durham-university
Osaka University,=175,https://www.timeshighereducation.com/world-university-rankings/osaka-university
University of Würzburg,=175,https://www.timeshighereducation.com/world-university-rankings/university-wurzburg
Beijing Normal University,=177,https://www.timeshighereducation.com/world-university-rankings/beijing-normal-university
University of Exeter,=177,https://www.timeshighereducation.com/world-university-rankings/university-exeter
University of Ottawa,=177,https://www.timeshighereducation.com/world-university-rankings/university-ottawa
Macquarie University,180,https://www.timeshighereducation.com/world-university-rankings/macquarie-university
Sapienza University of Rome,181,https://www.timeshighereducation.com/world-university-rankings/sapienza-university-rome
Arizona State University (Tempe),182,https://www.timeshighereducation.com/world-university-rankings/arizona-state-university-tempe
University of Geneva,183,https://www.timeshighereducation.com/world-university-rankings/university-geneva
University of Twente,184,https://www.timeshighereducation.com/world-university-rankings/university-twente
Stockholm University,=185,https://www.timeshighereducation.com/world-university-rankings/stockholm-university
Tongji University,=185,https://www.timeshighereducation.com/world-university-rankings/tongji-university
Georgetown University,=187,https://www.timeshighereducation.com/world-university-rankings/georgetown-university
University of Mannheim,=187,https://www.timeshighereducation.com/world-university-rankings/universitat-mannheim
Chalmers University of Technology,189,https://www.timeshighereducation.com/world-university-rankings/chalmers-university-technology
Cardiff University,190,https://www.timeshighereducation.com/world-university-rankings/cardiff-university
Tokyo Institute of Technology,=191,https://www.timeshighereducation.com/world-university-rankings/tokyo-institute-technology
Tufts University,=191,https://www.timeshighereducation.com/world-university-rankings/tufts-university
University of Erlangen-Nuremberg,=193,https://www.timeshighereducation.com/world-university-rankings/university-erlangen-nuremberg
University of Macau,=193,https://www.timeshighereducation.com/world-university-rankings/university-macau
University of Münster,=193,https://www.timeshighereducation.com/world-university-rankings/university-munster
University of St Andrews,=193,https://www.timeshighereducation.com/world-university-rankings/university-st-andrews
Ulm University,=193,https://www.timeshighereducation.com/world-university-rankings/ulm-university
Indiana University,198,https://www.timeshighereducation.com/world-university-rankings/indiana-university
University of Notre Dame,=199,https://www.timeshighereducation.com/world-university-rankings/university-notre-dame
Queensland University of Technology,=199,https://www.timeshighereducation.com/world-university-rankings/queensland-university-technology
Ulsan National Institute of Science and Technology (UNIST),=199,https://www.timeshighereducation.com/world-university-rankings/ulsan-national-institute-science-and-technology-unist
Aalborg University,201–250,https://www.timeshighereducation.com/world-university-rankings/aalborg-university
Aalto University,201–250,https://www.timeshighereducation.com/world-university-rankings/aalto-university
University of Aberdeen,201–250,https://www.timeshighereducation.com/world-university-rankings/university-aberdeen
Autonomous University of Barcelona,201–250,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-barcelona
University of Calgary,201–250,https://www.timeshighereducation.com/world-university-rankings/university-calgary
"University of California, Santa Cruz",201–250,https://www.timeshighereducation.com/world-university-rankings/university-california-santa-cruz
Curtin University,201–250,https://www.timeshighereducation.com/world-university-rankings/curtin-university
Friedrich Schiller University Jena,201–250,https://www.timeshighereducation.com/world-university-rankings/friedrich-schiller-university-jena
George Washington University,201–250,https://www.timeshighereducation.com/world-university-rankings/george-washington-university
Goethe University Frankfurt,201–250,https://www.timeshighereducation.com/world-university-rankings/goethe-university-frankfurt
University of Gothenburg,201–250,https://www.timeshighereducation.com/world-university-rankings/university-gothenburg
University of Hawai’i at Mānoa,201–250,https://www.timeshighereducation.com/world-university-rankings/university-hawaii-manoa
University of Illinois Chicago,201–250,https://www.timeshighereducation.com/world-university-rankings/university-illinois-chicago
Indian Institute of Science,201–250,https://www.timeshighereducation.com/world-university-rankings/indian-institute-science
University of Iowa,201–250,https://www.timeshighereducation.com/world-university-rankings/university-iowa
King Fahd University of Petroleum and Minerals,201–250,https://www.timeshighereducation.com/world-university-rankings/king-fahd-university-petroleum-and-minerals
Korea University,201–250,https://www.timeshighereducation.com/world-university-rankings/korea-university
University of Leicester,201–250,https://www.timeshighereducation.com/world-university-rankings/university-leicester
Université Libre de Bruxelles,201–250,https://www.timeshighereducation.com/world-university-rankings/universite-libre-de-bruxelles
University of Luxembourg,201–250,https://www.timeshighereducation.com/world-university-rankings/university-luxembourg
Medical University of Graz,201–250,https://www.timeshighereducation.com/world-university-rankings/medical-university-graz
Medical University of Vienna,201–250,https://www.timeshighereducation.com/world-university-rankings/medical-university-vienna
University of Miami,201–250,https://www.timeshighereducation.com/world-university-rankings/university-miami
Nagoya University,201–250,https://www.timeshighereducation.com/world-university-rankings/nagoya-university
University of Newcastle,201–250,https://www.timeshighereducation.com/world-university-rankings/university-newcastle
"Northeastern University, US",201–250,https://www.timeshighereducation.com/world-university-rankings/northeastern-university-us
University of Padua,201–250,https://www.timeshighereducation.com/world-university-rankings/university-padua
Politecnico di Milano,201–250,https://www.timeshighereducation.com/world-university-rankings/politecnico-di-milano
Pompeu Fabra University,201–250,https://www.timeshighereducation.com/world-university-rankings/pompeu-fabra-university
University of Potsdam,201–250,https://www.timeshighereducation.com/world-university-rankings/university-potsdam
Queen’s University Belfast,201–250,https://www.timeshighereducation.com/world-university-rankings/queens-university-belfast
University of Reading,201–250,https://www.timeshighereducation.com/world-university-rankings/university-reading
Rutgers University – New Brunswick,201–250,https://www.timeshighereducation.com/world-university-rankings/rutgers-university-new-brunswick-0
Sant’Anna School of Advanced Studies – Pisa,201–250,https://www.timeshighereducation.com/world-university-rankings/santanna-school-advanced-studies-pisa
University of São Paulo,201–250,https://www.timeshighereducation.com/world-university-rankings/university-sao-paulo
Southern University of Science and Technology (SUSTech),201–250,https://www.timeshighereducation.com/world-university-rankings/southern-university-science-and-technology-sustech
Sun Yat-sen University,201–250,https://www.timeshighereducation.com/world-university-rankings/sun-yat-sen-university
University of Sussex,201–250,https://www.timeshighereducation.com/world-university-rankings/university-sussex
Swinburne University of Technology,201–250,https://www.timeshighereducation.com/world-university-rankings/swinburne-university-technology
Tel Aviv University,201–250,https://www.timeshighereducation.com/world-university-rankings/tel-aviv-university
Tianjin University,201–250,https://www.timeshighereducation.com/world-university-rankings/tianjin-university
Tilburg University,201–250,https://www.timeshighereducation.com/world-university-rankings/tilburg-university
University College Dublin,201–250,https://www.timeshighereducation.com/world-university-rankings/university-college-dublin
University of Utah,201–250,https://www.timeshighereducation.com/world-university-rankings/university-utah
Vrije Universiteit Brussel,201–250,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-brussel
Western University,201–250,https://www.timeshighereducation.com/world-university-rankings/western-university
University of Wollongong,201–250,https://www.timeshighereducation.com/world-university-rankings/university-wollongong
Abu Dhabi University,251–300,https://www.timeshighereducation.com/world-university-rankings/abu-dhabi-university
University of Bath,251–300,https://www.timeshighereducation.com/world-university-rankings/university-bath
Beijing Institute of Technology,251–300,https://www.timeshighereducation.com/world-university-rankings/beijing-institute-technology
University of Bergen,251–300,https://www.timeshighereducation.com/world-university-rankings/university-bergen
Boston College,251–300,https://www.timeshighereducation.com/world-university-rankings/boston-college
Brandeis University,251–300,https://www.timeshighereducation.com/world-university-rankings/brandeis-university
"University of California, Riverside",251–300,https://www.timeshighereducation.com/world-university-rankings/university-california-riverside
Deakin University,251–300,https://www.timeshighereducation.com/world-university-rankings/deakin-university
University of East Anglia,251–300,https://www.timeshighereducation.com/world-university-rankings/university-east-anglia
École Normale Supérieure de Lyon,251–300,https://www.timeshighereducation.com/world-university-rankings/ecole-normale-superieure-de-lyon
Florida State University,251–300,https://www.timeshighereducation.com/world-university-rankings/florida-state-university
Griffith University,251–300,https://www.timeshighereducation.com/world-university-rankings/griffith-university
Heinrich Heine University Düsseldorf,251–300,https://www.timeshighereducation.com/world-university-rankings/heinrich-heine-university-dusseldorf
University of Hohenheim,251–300,https://www.timeshighereducation.com/world-university-rankings/universitat-hohenheim
Humanitas University,251–300,https://www.timeshighereducation.com/world-university-rankings/humanitas-university
Johannes Gutenberg University of Mainz,251–300,https://www.timeshighereducation.com/world-university-rankings/johannes-gutenberg-university-mainz
Khalifa University,251–300,https://www.timeshighereducation.com/world-university-rankings/khalifa-university
King Abdulaziz University,251–300,https://www.timeshighereducation.com/world-university-rankings/king-abdulaziz-university
University of Konstanz,251–300,https://www.timeshighereducation.com/world-university-rankings/university-konstanz
Kyung Hee University,251–300,https://www.timeshighereducation.com/world-university-rankings/kyung-hee-university
Lappeenranta-Lahti University of Technology LUT,251–300,https://www.timeshighereducation.com/world-university-rankings/lappeenranta-lahti-university-technology-lut
La Trobe University,251–300,https://www.timeshighereducation.com/world-university-rankings/la-trobe-university
Université Laval,251–300,https://www.timeshighereducation.com/world-university-rankings/laval-university
Linköping University,251–300,https://www.timeshighereducation.com/world-university-rankings/linkoping-university
Loughborough University,251–300,https://www.timeshighereducation.com/world-university-rankings/loughborough-university
Macau University of Science and Technology,251–300,https://www.timeshighereducation.com/world-university-rankings/macau-university-science-and-technology
University of Malaya,251–300,https://www.timeshighereducation.com/world-university-rankings/university-malaya
Medical University of Innsbruck,251–300,https://www.timeshighereducation.com/world-university-rankings/medical-university-innsbruck
Nankai University,251–300,https://www.timeshighereducation.com/world-university-rankings/nankai-university
North Carolina State University,251–300,https://www.timeshighereducation.com/world-university-rankings/north-carolina-state-university
University of Oulu,251–300,https://www.timeshighereducation.com/world-university-rankings/university-oulu
Qatar University,251–300,https://www.timeshighereducation.com/world-university-rankings/qatar-university
Queen’s University,251–300,https://www.timeshighereducation.com/world-university-rankings/queens-university
RCSI University of Medicine and Health Sciences,251–300,https://www.timeshighereducation.com/world-university-rankings/rcsi-university-medicine-and-health-sciences
RMIT University,251–300,https://www.timeshighereducation.com/world-university-rankings/rmit-university
Ruhr University Bochum,251–300,https://www.timeshighereducation.com/world-university-rankings/ruhr-university-bochum
Sejong University,251–300,https://www.timeshighereducation.com/world-university-rankings/sejong-university
Semmelweis University,251–300,https://www.timeshighereducation.com/world-university-rankings/semmelweis-university
Simon Fraser University,251–300,https://www.timeshighereducation.com/world-university-rankings/simon-fraser-university
South China University of Technology,251–300,https://www.timeshighereducation.com/world-university-rankings/south-china-university-technology
University of Southern Denmark,251–300,https://www.timeshighereducation.com/world-university-rankings/university-southern-denmark
University of South Florida,251–300,https://www.timeshighereducation.com/world-university-rankings/university-south-florida
Stony Brook University,251–300,https://www.timeshighereducation.com/world-university-rankings/stony-brook-university
University of Stuttgart,251–300,https://www.timeshighereducation.com/world-university-rankings/university-stuttgart
University of Surrey,251–300,https://www.timeshighereducation.com/world-university-rankings/university-surrey
Università della Svizzera italiana,251–300,https://www.timeshighereducation.com/world-university-rankings/universita-della-svizzera-italiana
Swansea University,251–300,https://www.timeshighereducation.com/world-university-rankings/swansea-university
University of Tasmania,251–300,https://www.timeshighereducation.com/world-university-rankings/university-tasmania
Technical University of Darmstadt,251–300,https://www.timeshighereducation.com/world-university-rankings/technical-university-darmstadt
TU Wien,251–300,https://www.timeshighereducation.com/world-university-rankings/tu-wien
Virginia Polytechnic Institute and State University,251–300,https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university
Vita-Salute San Raffaele University,251–300,https://www.timeshighereducation.com/world-university-rankings/vita-salute-san-raffaele-university
Xi’an Jiaotong University,251–300,https://www.timeshighereducation.com/world-university-rankings/xian-jiaotong-university
Beihang University,301–350,https://www.timeshighereducation.com/world-university-rankings/beihang-university
"Birkbeck, University of London",301–350,https://www.timeshighereducation.com/world-university-rankings/birkbeck-university-london
University of Bremen,301–350,https://www.timeshighereducation.com/world-university-rankings/university-bremen
University at Buffalo,301–350,https://www.timeshighereducation.com/world-university-rankings/university-buffalo
Università Cattolica del Sacro Cuore,301–350,https://www.timeshighereducation.com/world-university-rankings/universita-cattolica-del-sacro-cuore
"China Medical University, Taiwan",301–350,https://www.timeshighereducation.com/world-university-rankings/china-medical-university-taiwan
Copenhagen Business School,301–350,https://www.timeshighereducation.com/world-university-rankings/copenhagen-business-school
Dalhousie University,301–350,https://www.timeshighereducation.com/world-university-rankings/dalhousie-university
Drexel University,301–350,https://www.timeshighereducation.com/world-university-rankings/drexel-university
University of Dundee,301–350,https://www.timeshighereducation.com/world-university-rankings/university-dundee
East China Normal University,301–350,https://www.timeshighereducation.com/world-university-rankings/east-china-normal-university
University of Essex,301–350,https://www.timeshighereducation.com/world-university-rankings/university-essex
Flinders University,301–350,https://www.timeshighereducation.com/world-university-rankings/flinders-university
University of Galway,301–350,https://www.timeshighereducation.com/world-university-rankings/university-galway
Université Grenoble Alpes,301–350,https://www.timeshighereducation.com/world-university-rankings/universite-grenoble-alpes
Hanyang University,301–350,https://www.timeshighereducation.com/world-university-rankings/hanyang-university
Hebrew University of Jerusalem,301–350,https://www.timeshighereducation.com/world-university-rankings/hebrew-university-jerusalem
Hong Kong Baptist University,301–350,https://www.timeshighereducation.com/world-university-rankings/hong-kong-baptist-university
University of Innsbruck,301–350,https://www.timeshighereducation.com/world-university-rankings/university-innsbruck
