,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
183,1767,Clemson University,Clemson University,601-700,https://www.shanghairanking.com/institution/clemson-university
184,463,San Diego State University,San Diego State University,601-700,https://www.shanghairanking.com/institution/san-diego-state-university
185,1399,University at Albany (State University of New York),University at Albany,601-700,https://www.shanghairanking.com/institution/university-at-albany-state-university-of-new-york
187,1502,State University of New York Health Science Center at Brooklyn,State University of New York,601-700,https://www.shanghairanking.com/institution/state-university-of-new-york-health-science-center-at-brooklyn
188,238,The University of Alabama - Tuscaloosa,University of Alabama,601-700,https://www.shanghairanking.com/institution/the-university-of-alabama-tuscaloosa
189,264,University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,601-700,https://www.shanghairanking.com/institution/university-of-arkansas-for-medical-sciences
191,211,University of Alaska - Fairbanks,University of Alaska,601-700,https://www.shanghairanking.com/institution/university-of-alaska-fairbanks
192,1339,University of New Hampshire,University of New Hampshire,601-700,https://www.shanghairanking.com/institution/university-of-new-hampshire
193,1582,University of Toledo,University of Toledo,601-700,https://www.shanghairanking.com/institution/university-of-toledo
194,1111,Wayne State University,Wayne State,601-700,https://www.shanghairanking.com/institution/wayne-state-university
195,570,American University of Beirut,American University,701-800,https://www.shanghairanking.com/institution/american-university-of-beirut
196,1549,Kent State University,Kent State University,701-800,https://www.shanghairanking.com/institution/kent-state-university
197,2091,Medical College of Wisconsin,Medical College of Wisconsin,701-800,https://www.shanghairanking.com/institution/medical-college-of-wisconsin
198,1358,New Jersey Institute of Technology,New Jersey Institute of Technology,701-800,https://www.shanghairanking.com/institution/new-jersey-institute-of-technology
199,1563,Ohio University,Ohio University,701-800,https://www.shanghairanking.com/institution/ohio-university
200,1991,Old Dominion University,Old Dominion University,701-800,https://www.shanghairanking.com/institution/old-dominion-university
201,1366,Rutgers University - Newark,Rutgers University,701-800,https://www.shanghairanking.com/institution/rutgers-university-newark
202,1258,Southern Methodist University,Methodist University,701-800,https://www.shanghairanking.com/institution/southern-methodist-university
204,1510,Syracuse University,Syracuse University,701-800,https://www.shanghairanking.com/institution/syracuse-university
205,1042,"University of Maryland, Baltimore County",University of Maryland,701-800,https://www.shanghairanking.com/institution/university-of-maryland-baltimore-county
206,1841,University of Tennessee Health Science Center,University of Tennessee Health Science Center,701-800,https://www.shanghairanking.com/institution/university-of-tennessee-health-science-center
207,747,University of Idaho,University of Idaho,701-800,https://www.shanghairanking.com/institution/university-of-idaho
208,2140,University of Wyoming,University of Wyoming,701-800,https://www.shanghairanking.com/institution/university-of-wyoming
209,940,Amherst College,Amherst College,801-900,https://www.shanghairanking.com/institution/amherst-college
210,532,Colorado School of Mines,Colorado School of Mines,801-900,https://www.shanghairanking.com/institution/colorado-school-of-mines
211,1435,Fordham University,Fordham University,801-900,https://www.shanghairanking.com/institution/fordham-university
212,1171,Lincoln University,Lincoln University,801-900,https://www.shanghairanking.com/institution/lincoln-university
214,1514,Union College,Union College,801-900,https://www.shanghairanking.com/institution/union-college
215,910,University of Louisville,The University of Louisville,801-900,https://www.shanghairanking.com/institution/university-of-louisville
216,1315,University of Nebraska Medical Center,University of Nebraska,801-900,https://www.shanghairanking.com/institution/university-of-nebraska-medical-center
218,1947,University of Texas at El Paso,University of Texas at El Paso,801-900,https://www.shanghairanking.com/institution/university-of-texas-at-el-paso
219,789,Loyola University Chicago,Loyola University Chicago,901-1000,https://www.shanghairanking.com/institution/loyola-university-chicago
220,1222,Montana State University - Bozeman,Montana State University,901-1000,https://www.shanghairanking.com/institution/montana-state-university-bozeman
221,1378,Southern Cross University,Ross University,901-1000,https://www.shanghairanking.com/institution/southern-cross-university
222,1431,SUNY College of Environmental Science and Forestry,College of Environmental Science and Forestry,901-1000,https://www.shanghairanking.com/institution/suny-college-of-environmental-science-and-forestry
223,1515,SUNY Upstate Medical University,Upstate Medical University,901-1000,https://www.shanghairanking.com/institution/suny-upstate-medical-university
224,1730,Swarthmore College,Swarthmore College,901-1000,https://www.shanghairanking.com/institution/swarthmore-college
225,1266,University of North Carolina at Greensboro,University of North Carolina,901-1000,https://www.shanghairanking.com/institution/university-of-north-carolina-at-greensboro
226,263,University of Arkansas at Little Rock,University of Arkansas at Little Rock,901-1000,https://www.shanghairanking.com/institution/university-of-arkansas-at-little-rock
228,1062,University of New England,University of New England,901-1000,https://www.shanghairanking.com/institution/university-of-new-england
229,1521,Yeshiva University,Yeshiva University,901-1000,https://www.shanghairanking.com/institution/yeshiva-university
