id_,university_name
718,Framingham State University
719,Franciscan Missionaries of Our Lady University
720,Franciscan University of Steubenville
721,Francis Marion University
722,Franklin College
723,Franklin & Marshall College
724,Franklin Pierce University
725,Franklin University
726,Franklin University Switzerland
727,Franklin W. Olin College of Engineering
728,Freed-Hardeman University
729,Fresno Pacific University
730,Friends University
731,Frostburg State University
732,Furman University
733,Galen College of Nursing--Louisville
734,Gallaudet University
735,Gannon University
736,Gardner-Webb University
737,Geneva College
738,George Fox University
739,George Mason University
740,Georgetown College
741,Georgetown University
742,George Washington University
743,Georgia College & State University
744,Georgia Gwinnett College
745,Georgia Highlands College
746,Georgia Institute of Technology
747,Georgia Military College
748,Georgian Court University
749,Georgia Southern University
750,Georgia Southwestern State University
751,Georgia State University
752,Gettysburg College
753,Glenville State University
754,Goddard College
755,God's Bible School and College
756,Goldey-Beacom College
757,Goldfarb School of Nursing at Barnes-Jewish College
758,Gonzaga University
759,Good Samaritan College of Nursing and Health Science
760,Goodwin University
761,Gordon College
762,Gordon State College
763,Goshen College
764,Goucher College
765,Governors State University
766,Grace Christian University
767,Grace College and Seminary
768,Graceland University
769,Grambling State University
770,Grand Canyon University
771,Grand Valley State University
772,Grand View University
773,Grays Harbor College
774,Grayson College
775,Great Basin College
776,Great Lakes Christian College
777,Green River College
778,Greensboro College
779,Greenville University
780,Grinnell College
781,Grove City College
782,Guilford College
783,Gulf Coast State College
784,Gustavus Adolphus College
785,Gwynedd Mercy University
786,Hamilton College
787,Hamline University
788,Hampden-Sydney College
789,Hampshire College
790,Hampton University
791,Hannibal-LaGrange University
792,Hanover College
793,Harding University
794,Hardin-Simmons University
795,Harrisburg University of Science and Technology
796,Harris-Stowe State University
797,Hartwick College
798,Harvard University
799,Harvey Mudd College
800,Haskell Indian Nations University
801,Hastings College
802,Haverford College
803,Hawaii Pacific University
804,Hebrew Theological College
805,Heidelberg University
806,Hellenic College
807,Henderson State University
808,Hendrix College
809,Henry Ford College
810,Heritage University
811,Herzing University
812,Herzing University-Atlanta
813,Herzing University-Brookfield
814,Herzing University-Kenosha
815,Herzing University--Minneapolis
816,Herzing University--Orlando
817,Hesston College
818,Highline College
819,High Point University
820,Hilbert College
821,Hillsdale College
822,Hiram College
823,Hobart and William Smith Colleges
824,Hodges University
825,Hofstra University
826,Hollins University
827,Holy Apostles College and Seminary
828,"Holy Cross College at Notre Dame, Indiana"
829,Holy Family University
830,Hood College
831,Hope College
832,Hope International University
833,Houghton University
834,Houston Christian University
835,Howard Payne University
836,Howard University
837,Huertas College
838,Hult International Business School
839,Humphreys University
840,Huntingdon College
841,Huntington University
842,Husson University
843,Huston-Tillotson University
844,Idaho State University
845,Ilisagvik College
846,Illinois College
847,Illinois Institute of Technology
848,Illinois State University
849,Illinois Wesleyan University
850,Immaculata University
851,Indiana State University
852,Indiana Tech
853,Indiana University--Bloomington
854,Indiana University East
855,Indiana University--Kokomo
856,Indiana University Northwest
857,Indiana University of Pennsylvania
858,Indiana University-Purdue University--Indianapolis
859,Indiana University--South Bend
