,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
103,1694,The University of Georgia,University of Georgia,301-400,https://www.shanghairanking.com/institution/the-university-of-georgia
104,1674,University of Central Florida,University of Central Florida,301-400,https://www.shanghairanking.com/institution/university-of-central-florida
105,1684,University of Connecticut,University of Connecticut,301-400,https://www.shanghairanking.com/institution/university-of-connecticut
106,1698,University of Hawaii at Manoa,University of Hawaii at Manoa,301-400,https://www.shanghairanking.com/institution/university-of-hawaii-at-manoa
107,1703,University of Houston,University of Houston,301-400,https://www.shanghairanking.com/institution/university-of-houston
111,1714,University of Kansas,University of Kansas,301-400,https://www.shanghairanking.com/institution/university-of-kansas
112,1715,University of Kentucky,University of Kentucky,301-400,https://www.shanghairanking.com/institution/university-of-kentucky
113,1726,"University of Maryland, Baltimore",University of Mary,301-400,https://www.shanghairanking.com/institution/university-of-maryland-baltimore
116,1739,University of Miami,University of Miami,301-400,https://www.shanghairanking.com/institution/university-of-miami
117,1834,University of South Florida,University of South Florida,301-400,https://www.shanghairanking.com/institution/university-of-south-florida
118,1193,Western University,Northwestern University,301-400,https://www.shanghairanking.com/institution/western-university
121,622,Drexel University,Drexel University,401-500,https://www.shanghairanking.com/institution/drexel-university
122,741,Georgetown University,Georgetown University,401-500,https://www.shanghairanking.com/institution/georgetown-university
123,875,Iowa State University,Iowa State University of Science and Technology,401-500,https://www.shanghairanking.com/institution/iowa-state-university
124,1135,Kyungpook National University,National University,401-500,https://www.shanghairanking.com/institution/kyungpook-national-university
125,1176,Northern Arizona University,Northern Arizona University,401-500,https://www.shanghairanking.com/institution/northern-arizona-university
126,1135,Pusan National University,National University,401-500,https://www.shanghairanking.com/institution/pusan-national-university
127,1322,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,401-500,https://www.shanghairanking.com/institution/rensselaer-polytechnic-institute
128,1566,Temple University,Temple University,401-500,https://www.shanghairanking.com/institution/temple-university
129,1812,Federal University of Rio Grande do Sul,University of Rio Grande,401-500,https://www.shanghairanking.com/institution/federal-university-of-rio-grande-do-sul
130,1825,University of South Carolina - Columbia,University of South Carolina,401-500,https://www.shanghairanking.com/institution/university-of-south-carolina-columbia-1
