university_name,id_
Five Towns College,694
Flagler College,695
Florida A&M University,696
Florida A&M University -- Florida State University College of Engineering,697
Florida Atlantic University,698
Florida College,699
Florida Gateway College,700
Florida Gulf Coast University,701
Florida Institute of Technology,702
Florida International University,703
Florida Keys Community College,704
Florida Memorial University,705
Florida National University,706
Florida Polytechnic University,707
Florida Southern College,708
Florida SouthWestern State College,709
Florida State College--Jacksonville,710
Florida State University,711
Fontbonne University,712
Foothill College,713
Fordham University,714
Fort Hays State University,715
Fort Lewis College,716
Fort Valley State University,717
Framingham State University,718
Franciscan Missionaries of Our Lady University,719
Franciscan University of Steubenville,720
Francis Marion University,721
Franklin College,722
Franklin & Marshall College,723
Franklin Pierce University,724
Franklin University,725
Franklin University Switzerland,726
Franklin W. Olin College of Engineering,727
Freed-Hardeman University,728
Fresno Pacific University,729
Friends University,730
Frostburg State University,731
Furman University,732
Galen College of Nursing--Louisville,733
Gallaudet University,734
Gannon University,735
Gardner-Webb University,736
Geneva College,737
George Fox University,738
George Mason University,739
Georgetown College,740
Georgetown University,741
George Washington University,742
Georgia College & State University,743
Georgia Gwinnett College,744
Georgia Highlands College,745
Georgia Institute of Technology,746
Georgia Military College,747
Georgian Court University,748
Georgia Southern University,749
Georgia Southwestern State University,750
Georgia State University,751
Gettysburg College,752
Glenville State University,753
Goddard College,754
God's Bible School and College,755
Goldey-Beacom College,756
Goldfarb School of Nursing at Barnes-Jewish College,757
Gonzaga University,2049
Good Samaritan College of Nursing and Health Science,759
Goodwin University,760
Gordon College,761
Gordon State College,762
Goshen College,763
Goucher College,764
Governors State University,765
Grace Christian University,766
Grace College and Seminary,767
Graceland University,768
Grambling State University,769
Grand Canyon University,770
Grand Valley State University,771
Grand View University,772
Grays Harbor College,773
Grayson College,774
Great Basin College,775
Great Lakes Christian College,776
Green River College,777
Greensboro College,778
Greenville University,779
Grinnell College,780
Grove City College,781
Guilford College,782
Gulf Coast State College,783
Gustavus Adolphus College,784
Gwynedd Mercy University,785
Hamilton College,786
Hamline University,787
Hampden-Sydney College,788
Hampshire College,789
Hampton University,790
Hannibal-LaGrange University,791
Hanover College,792
Harding University,793
Hardin-Simmons University,794
Harrisburg University of Science and Technology,795
Harris-Stowe State University,796
Hartwick College,797
Harvard University,798
Harvey Mudd College,799
Haskell Indian Nations University,800
Hastings College,801
Haverford College,802
Hawaii Pacific University,803
Hebrew Theological College,804
Heidelberg University,805
Hellenic College,806
Henderson State University,807
Hendrix College,808
Henry Ford College,809
Heritage University,810
Herzing University,811
Herzing University-Atlanta,812
Herzing University-Brookfield,813
Herzing University-Kenosha,814
Herzing University--Minneapolis,815
Herzing University--Orlando,816
Hesston College,817
Highline College,2051
High Point University,819
Hilbert College,820
Hillsdale College,821
Hiram College,822
Hobart and William Smith Colleges,823
Hodges University,824
Hofstra University,825
Hollins University,826
Holy Apostles College and Seminary,827
"Holy Cross College at Notre Dame, Indiana",828
Holy Family University,829
Hood College,830
Hope College,831
Hope International University,832
Houghton University,833
Houston Christian University,834
Howard Payne University,835
Howard University,836
Huertas College,837
Hult International Business School,838
Humphreys University,839
Huntingdon College,840
Huntington University,841
Husson University,842
Huston-Tillotson University,843
Idaho State University,844
Ilisagvik College,845
Illinois College,846
Illinois Institute of Technology,847
Illinois State University,848
Illinois Wesleyan University,849
Immaculata University,850
Indiana State University,851
Indiana Tech,852
Indiana University--Bloomington,853
Indiana University East,854
Indiana University--Kokomo,855
Indiana University Northwest,856
Indiana University of Pennsylvania,857
Indiana University-Purdue University--Indianapolis,858
Indiana University--South Bend,859
Indiana University Southeast,860
Indiana Wesleyan University,861
Indian River State College,862
Institute of American Indian Arts,863
Inter American University of Puerto Rico--Aguadilla,864
Inter American University of Puerto Rico--Arecibo,865
Inter American University of Puerto Rico--Barranquitas,866
Inter American University of Puerto Rico--Bayamon,867
Inter American University of Puerto Rico--Fajardo,868
Inter American University of Puerto Rico--Guayama,869
Inter American University of Puerto Rico--Metropolitan Campus,870
Inter American University of Puerto Rico--Ponce,871
Inter American University of Puerto Rico--San German,872
International College of the Cayman Islands,873
Iona University,874
Iowa State University of Science and Technology,875
Ithaca College,876
Jackson College,877
Jackson State University,878
Jacksonville State University,879
Jacksonville University,880
James Madison University,881
Jamestown Business College,882
Jarvis Christian University,883
Jessup University,884
Jewish Theological Seminary of America,885
John Brown University,886
John Carroll University,887
John Paul the Great Catholic University,888
Johns Hopkins University,889
Johnson C. Smith University,890
Johnson University (TN),891
Johnson & Wales University--Charlotte,892
Johnson & Wales University--Providence,893
Judson University,894
Juilliard School,895
Juniata College,896
Kalamazoo College,897
Kansas City Art Institute,898
Kansas State University,899
Kansas Wesleyan University,900
Kean University,901
Keene State College,902
Keiser University,903
Kennesaw State University,904
Kent State University,905
Kent State University at East Liverpool,906
Kentucky Christian University,907
Kentucky State University,908
Kentucky Wesleyan College,909
Kenyon College,910
Kettering College,911
Kettering University,912
Keuka College,913
Keystone College,914
King's College,915
The King's College,916
King University,917
Knox College,918
Kutztown University of Pennsylvania,919
Kuyper College,920
Laboure College,921
Lackawanna College,922
Lafayette College,923
LaGrange College,924
Laguna College of Art and Design,925
Lake Erie College,926
Lake Forest College,927
Lakeland University,928
Lake Michigan College,929
Lake-Sumter State College,930
Lake Superior State University,931
Lakeview College of Nursing,932
Lake Washington Institute of Technology,933
Lamar University,934
Lancaster Bible College,935
Lander University,936
Landmark College,937
Lane College,938
Langston University,939
La Roche University,940
La Salle University,941
Lasell University,942
La Sierra University,943
Lawrence Technological University,944
Lawrence University,2087
Lebanese American University,946
Lebanon Valley College,947
Lees-McRae College,948
Lee University,949
Lehigh University,950
Le Moyne College,951
LeMoyne-Owen College,952
Lenoir-Rhyne University,953
Lesley University,954
LeTourneau University,955
Lewis & Clark College,956
Lewis-Clark State College,957
Lewis University,958
Liberty University,959
Life Pacific University,960
Life University,961
LIM College,962
Limestone University,963
Lincoln Christian University,964
Lincoln Memorial University,965
Lincoln University (CA),966
Lincoln University (MO),967
Lincoln University (PA),968
Lindenwood University,969
Lindsey Wilson College,970
Linfield University,971
Lipscomb University,972
Livingstone College,973
Logan University,974
Loma Linda University,975
Long Island University,976
Longwood University,977
Loras College,978
Louisiana Christian University,979
Louisiana State University--Alexandria,980
Louisiana State University--Baton Rouge,981
Louisiana State University Health Sciences Center,982
Louisiana State University--Shreveport,983
Louisiana Tech University,984
Lourdes University,985
Loyola Marymount University,986
Loyola University Chicago,987
Loyola University Maryland,988
Loyola University New Orleans,989
Lubbock Christian University,990
Luther College,991
Lycoming College,992
Lynn University,993
Lyon College,994
Macalester College,995
Madonna University,996
Maharishi International University,997
Maine College of Art,998
Maine Maritime Academy,999
Malone University,1000
Manchester University,1001
Manhattan Christian College,1002
Manhattan College,1003
Manhattan School of Music,1004
Manhattanville College,1005
Manor College,1006
Maranatha Baptist University,1007
Maria College of Albany,1008
Marian University (IN),1009
Marian University (WI),1010
Marietta College,1011
Marist College,1012
Marquette University,2089
Marshall University,2124
Mars Hill University,1015
Martin Luther College,1016
Martin University,1017
Mary Baldwin University,1018
Maryland Institute College of Art,1019
Marymount Manhattan College,1020
Marymount University,1021
Maryville College,1022
Maryville University of St. Louis,1023
Marywood University,1024
Massachusetts College of Art and Design,1025
Massachusetts College of Liberal Arts,1026
Massachusetts Institute of Technology,1027
Massachusetts Maritime Academy,1028
The Master's University and Seminary,1029
Mayville State University,1030
McDaniel College,1031
McKendree University,1032
McMurry University,1033
McNeese State University,1034
McPherson College,1035
MCPHS University,1036
Medgar Evers College--CUNY,1037
Medical University of South Carolina,1038
Menlo College,1039
Mercer University,1040
Mercy College of Health Sciences,1041
Mercy College of Ohio,1042
Mercyhurst University,1043
Mercy University,1044
Meredith College,1045
Merrimack College,1046
Messiah University,1047
Methodist College,1048
